"","date","is_from_me"
"145","2018-12-16 05:08:27 UTC",1
"146","2018-12-16 05:09:44 UTC",1
"147","2018-12-16 05:10:51 UTC",0
"148","2018-12-16 05:11:11 UTC",1
"149","2018-12-16 05:11:26 UTC",0
"150","2018-12-16 05:11:56 UTC",1
"151","2018-12-16 05:22:23 UTC",0
"152","2018-12-16 05:22:27 UTC",0
"153","2018-12-16 05:22:59 UTC",1
"154","2018-12-16 05:43:57 UTC",0
"155","2018-12-16 05:44:24 UTC",1
"156","2018-12-16 06:07:31 UTC",1
"157","2018-12-16 07:15:12 UTC",1
"158","2018-12-16 07:35:33 UTC",0
"159","2018-12-16 07:35:39 UTC",0
"160","2018-12-16 07:36:05 UTC",1
"161","2018-12-16 07:36:32 UTC",1
"162","2018-12-16 07:36:59 UTC",0
"163","2018-12-16 07:37:33 UTC",1
"164","2018-12-16 07:37:39 UTC",0
"165","2018-12-16 07:37:57 UTC",1
"166","2018-12-16 07:38:51 UTC",0
"167","2018-12-16 07:38:56 UTC",0
"168","2018-12-16 07:39:11 UTC",0
"169","2018-12-16 07:41:16 UTC",1
"170","2018-12-16 07:41:51 UTC",0
"171","2018-12-16 07:41:55 UTC",1
"172","2018-12-16 07:42:01 UTC",0
"173","2018-12-16 07:42:39 UTC",1
"174","2018-12-16 07:47:43 UTC",0
"175","2018-12-16 07:47:49 UTC",0
"176","2018-12-16 07:48:37 UTC",1
"177","2018-12-16 07:48:49 UTC",0
"178","2018-12-16 07:49:05 UTC",1
"179","2018-12-16 07:49:46 UTC",1
"180","2018-12-16 07:51:42 UTC",0
"181","2018-12-16 07:53:55 UTC",0
"182","2018-12-16 07:54:08 UTC",1
"183","2018-12-16 08:13:57 UTC",0
"184","2018-12-16 08:14:01 UTC",0
"185","2018-12-16 08:14:36 UTC",1
"186","2018-12-16 08:15:06 UTC",1
"187","2018-12-16 08:18:24 UTC",0
"188","2018-12-16 08:18:27 UTC",0
"189","2018-12-16 08:19:35 UTC",1
"190","2018-12-16 08:19:49 UTC",1
"191","2018-12-16 08:20:09 UTC",1
"192","2018-12-16 08:23:10 UTC",1
