"","date","is_from_me"
"160",2018-04-21 21:39:55,"0"
"161",2018-04-21 22:10:36,"1"
"162",2018-04-21 22:16:13,"0"
"163",2018-04-21 22:19:35,"1"
"164",2018-04-21 22:21:48,"0"
"165",2018-04-21 22:22:53,"1"
"166",2018-04-21 22:24:30,"0"
"167",2018-04-21 22:26:48,"1"
"168",2018-04-21 22:27:16,"1"
"169",2018-04-21 22:42:13,"0"
"170",2018-04-21 22:42:39,"1"
"171",2018-04-21 22:48:38,"0"
"172",2018-04-21 22:50:15,"1"
"173",2018-04-22 19:38:33,"0"
"174",2018-04-22 19:41:53,"1"
"175",2018-04-22 19:42:27,"1"
"176",2018-04-22 20:03:18,"0"
"177",2018-04-22 20:04:40,"1"
"178",2018-04-22 20:05:03,"1"
"179",2018-04-22 20:05:48,"1"
"180",2018-04-22 20:12:26,"0"
"181",2018-04-22 20:12:33,"0"
"182",2018-04-22 20:13:24,"1"
"183",2018-04-22 20:14:21,"0"
"184",2018-04-22 20:15:21,"1"
"185",2018-04-22 20:15:24,"1"
"186",2018-04-22 20:16:22,"0"
"187",2018-04-22 20:19:09,"1"
"188",2018-04-22 20:20:46,"0"
"189",2018-04-22 20:20:51,"0"
"190",2018-04-22 20:23:49,"1"
"191",2018-04-22 20:24:04,"0"
"192",2018-04-22 20:24:18,"1"
"193",2018-04-22 20:24:33,"0"
"194",2018-04-22 20:24:50,"0"
"195",2018-04-22 20:25:26,"0"
"196",2018-04-22 20:26:13,"1"
"197",2018-04-22 20:26:35,"1"
"198",2018-04-22 20:26:37,"0"
"199",2018-04-22 20:26:48,"0"
"200",2018-04-22 20:27:27,"1"
"201",2018-04-22 20:30:06,"1"
"202",2018-04-22 20:27:39,"0"
"203",2018-04-22 20:29:42,"0"
"204",2018-04-22 20:29:46,"0"
"205",2018-04-22 20:31:23,"1"
"206",2018-04-22 20:31:27,"1"
"207",2018-04-22 20:32:20,"0"
"208",2018-04-22 20:32:21,"0"
"209",2018-04-22 20:33:57,"1"
"210",2018-04-22 20:52:55,"0"
"211",2018-04-22 20:54:34,"1"
"212",2018-04-22 20:54:35,"1"
"213",2018-04-22 20:54:51,"1"
"214",2018-04-22 20:55:09,"1"
"215",2018-04-22 20:55:14,"1"
"216",2018-04-22 20:55:22,"0"
"217",2018-04-22 20:55:41,"0"
"218",2018-04-22 20:55:56,"1"
"219",2018-04-22 20:56:17,"0"
"220",2018-04-22 20:56:26,"1"
"221",2018-04-22 20:56:28,"1"
"222",2018-04-22 20:56:35,"1"
"223",2018-04-22 20:56:38,"0"
"224",2018-04-22 20:56:56,"1"
"225",2018-04-22 20:57:10,"1"
"226",2018-04-22 20:57:17,"0"
"227",2018-04-22 20:57:36,"0"
"228",2018-04-22 20:59:03,"1"
"229",2018-04-22 20:59:08,"1"
"230",2018-04-22 21:02:40,"1"
"231",2018-04-22 21:11:21,"0"
"232",2018-04-22 21:12:48,"1"
"233",2018-04-22 21:13:09,"0"
"234",2018-04-22 21:13:44,"0"
"235",2018-04-22 21:13:56,"0"
"236",2018-04-22 21:15:58,"1"
"237",2018-04-22 21:16:18,"1"
"238",2018-04-22 21:16:28,"0"
"239",2018-04-22 21:16:46,"0"
"240",2018-04-22 21:18:48,"1"
"241",2018-04-22 21:20:47,"1"
"242",2018-04-22 21:22:25,"0"
"243",2018-04-22 21:24:07,"1"
"244",2018-04-22 21:27:18,"0"
"245",2018-04-22 21:29:19,"1"
"246",2018-04-22 21:30:08,"1"
"247",2018-04-22 21:35:14,"0"
"248",2018-04-22 21:36:03,"0"
"249",2018-04-22 21:36:03,"0"
"250",2018-04-22 21:37:54,"1"
"251",2018-04-22 21:37:58,"1"
"252",2018-04-22 21:44:39,"0"
"253",2018-04-22 21:44:40,"0"
"254",2018-04-22 21:46:52,"1"
"255",2018-04-22 21:46:56,"1"
"256",2018-04-22 21:50:01,"0"
"257",2018-04-22 21:50:01,"0"
"258",2018-04-22 21:51:24,"1"
"259",2018-04-22 21:51:29,"1"
"260",2018-04-22 21:52:06,"0"
"261",2018-04-22 21:52:06,"0"
"262",2018-04-22 21:56:30,"1"
"263",2018-04-22 21:56:34,"1"
"264",2018-04-22 21:57:16,"0"
"265",2018-04-22 21:59:43,"1"
"266",2018-04-22 22:03:34,"0"
"267",2018-04-22 22:03:43,"0"
